sample,fastq_1,fastq_2,strandedness
CFL069-2019-06-24,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CFL069-2019-06-24_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CFL069-2019-06-24_R2_001.fastq.gz,auto
CFL069-2019-06-25,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CFL069-2019-06-25_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CFL069-2019-06-25_R2_001.fastq.gz,auto
CFL069-2019-07-23,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CFL069-2019-07-23_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CFL069-2019-07-23_R2_001.fastq.gz,auto
CFL098-2019-06-24,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CFL098-2019-06-24_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CFL098-2019-06-24_R2_001.fastq.gz,auto
CFL098-2019-06-25,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CFL098-2019-06-25_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CFL098-2019-06-25_R2_001.fastq.gz,auto
CFL098-2019-07-23,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CFL098-2019-07-23_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CFL098-2019-07-23_R2_001.fastq.gz,auto
CGA054-2019-06-24,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGA054-2019-06-24_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGA054-2019-06-24_R2_001.fastq.gz,auto
CGA054-2019-06-25,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGA054-2019-06-25_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGA054-2019-06-25_R2_001.fastq.gz,auto
CGA054-2019-07-23,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGA054-2019-07-23_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGA054-2019-07-23_R2_001.fastq.gz,auto
CGB065-2019-06-24,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB065-2019-06-24_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB065-2019-06-24_R2_001.fastq.gz,auto
CGB065-2019-06-25,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB065-2019-06-25_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB065-2019-06-25_R2_001.fastq.gz,auto
CGB065-2019-07-23,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB065-2019-07-23_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB065-2019-07-23_R2_001.fastq.gz,auto
CGB088-2019-06-24,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB088-2019-06-24_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB088-2019-06-24_R2_001.fastq.gz,auto
CGB088-2019-06-25,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB088-2019-06-25_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB088-2019-06-25_R2_001.fastq.gz,auto
CGB088-2019-07-23,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB088-2019-07-23_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB088-2019-07-23_R2_001.fastq.gz,auto
CGB091-2019-06-24,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB091-2019-06-24_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB091-2019-06-24_R2_001.fastq.gz,auto
CGB091-2019-06-25,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB091-2019-06-25_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB091-2019-06-25_R2_001.fastq.gz,auto
CGB091-2019-07-23,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB091-2019-07-23_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB091-2019-07-23_R2_001.fastq.gz,auto
CGB093-2019-06-24,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB093-2019-06-24_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB093-2019-06-24_R2_001.fastq.gz,auto
CGB093-2019-06-25,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB093-2019-06-25_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB093-2019-06-25_R2_001.fastq.gz,auto
CGB093-2019-07-23,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB093-2019-07-23_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB093-2019-07-23_R2_001.fastq.gz,auto
CGB097-2019-06-24,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB097-2019-06-24_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB097-2019-06-24_R2_001.fastq.gz,auto
CGB097-2019-06-25,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB097-2019-06-25_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB097-2019-06-25_R2_001.fastq.gz,auto
CGB097-2019-07-23,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB097-2019-07-23_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB097-2019-07-23_R2_001.fastq.gz,auto
CGB104-2019-06-24,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB104-2019-06-24_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB104-2019-06-24_R2_001.fastq.gz,auto
CGB104-2019-06-25,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB104-2019-06-25_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB104-2019-06-25_R2_001.fastq.gz,auto
CGB104-2019-07-23,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB104-2019-07-23_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGB104-2019-07-23_R2_001.fastq.gz,auto
CGC010-2019-06-24,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGC010-2019-06-24_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGC010-2019-06-24_R2_001.fastq.gz,auto
CGC010-2019-06-25,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGC010-2019-06-25_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGC010-2019-06-25_R2_001.fastq.gz,auto
CGC010-2019-07-23,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGC010-2019-07-23_R1_001.fastq.gz,/home/projects/cu_10181/people/tuhu/PAXgene/data/fastq/CGC010-2019-07-23_R2_001.fastq.gz,auto
